"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned"
"Romar Morris","(N/A)","RB","2935","FA","Bye","0","0","","0%"
"Stephen Morris","(N/A)","QB","2936","FA","Bye","0","0","","0%"
"Antonio Morrison","(N/A)","LB","2937","W (Wed)","Bye","0","0","","0%"
"C.J. Mosley","MIA","DT","2938","W (Wed)","Bye","0","0","null","0%"
"Jamey Mosley","(N/A)","LB","2939","W (Wed)","Bye","0","0","","0%"
"Khaynin Mosley-Smith","(N/A)","DT","2940","W (Wed)","Bye","0","0","","0%"
"Randy Moss","(N/A)","WR","2941","FA","Bye","0","0","","0%"
"Anthony Moten","(N/A)","DT","2942","W (Wed)","Bye","0","0","","0%"
"Andrew Motuapuaka","(N/A)","LB","2943","W (Wed)","Bye","0","0","","0%"
"Deiontrez Mount","(N/A)","LB","2944","W (Wed)","Bye","0","0","","0%"
"Jonathan Moxey","(N/A)","CB","2945","W (Wed)","Bye","0","0","","0%"
"Khalfani Muhammad","DEN","RB","2946","FA","Bye","0","0","null","0%"
"Richard Mullaney","(N/A)","WR","2947","FA","Bye","0","0","","0%"
"Keith Mumphery","(N/A)","WR","2948","FA","Bye","0","0","","0%"
"Captain Munnerlyn","(N/A)","CB","2949","W (Wed)","Bye","0","0","","0%"
"Marchie Murdock","(N/A)","WR","2950","FA","Bye","0","0","","0%"
"Cole Murphy","(N/A)","K","2951","FA","Bye","0","0","","0%"
"Jared Murphy","(N/A)","WR","2952","FA","Bye","0","0","","0%"
"Louis Murphy","(N/A)","WR","2953","FA","Bye","0","0","","0%"
"Marcus Murphy","CAR","RB","2954","FA","Bye","0","0","null","0%"
"McKay Murphy","(N/A)","DT","2955","W (Wed)","Bye","0","0","","0%"
"Ryan Murphy","(N/A)","S","2956","W (Wed)","Bye","0","0","","0%"
"Aaron Murray","(N/A)","QB","2957","FA","Bye","0","0","","0%"
"Najee Murray","(N/A)","CB","2958","W (Wed)","Bye","0","0","","0%"
"Nyqwan Murray","(N/A)","WR","2959","FA","Bye","0","0","","0%"
"Patrick Murray","(N/A)","K","2960","FA","Bye","0","0","","0%"
"T.J. Mutcherson","(N/A)","S","2961","W (Wed)","Bye","0","0","","0%"
"Chris Myarick","MIA","TE","2962","FA","Bye","0","0","null","0%"
"Brandon Myers","(N/A)","TE","2963","FA","Bye","0","0","","0%"
"Mark Myers","(N/A)","CB","2964","W (Wed)","Bye","0","0","","0%"
"Alexander Myres","PIT","CB","2965","W (Wed)","Bye","0","0","null","0%"
"Jalen Myrick","(N/A)","CB","2966","W (Wed)","Bye","0","0","","0%"
"Legedu Naanee","MIA","WR","2967","FA","Bye","0","0","null","0%"
"Kai Nacua","(N/A)","S","2968","W (Wed)","Bye","0","0","","0%"
"Flynn Nagel","(N/A)","WR","2969","FA","Bye","0","0","","0%"
"Anthony Nash","(N/A)","WR","2970","FA","Bye","0","0","","0%"
"Ryan Nassib","(N/A)","QB","2971","FA","Bye","0","0","","0%"
"Dejuan Neal","(N/A)","CB","2972","W (Wed)","Bye","0","0","","0%"
"Durron Neal","(N/A)","WR","2973","FA","Bye","0","0","","0%"
"Griffin Neal","(N/A)","QB","2974","FA","Bye","0","0","","0%"
"Lewis Neal","(N/A)","RB,DE,DT","2975","FA","Bye","0","0","","0%"
"Mike Needham","(N/A)","LB","2976","W (Wed)","Bye","0","0","","0%"
"Jason Neill","(N/A)","DE,LB","2977","W (Wed)","Bye","0","0","","0%"
"Picasso Nelson Jr.","IND","CB","2978","W (Wed)","Bye","0","0","null","0%"
"Robert Nelson Jr.","(N/A)","CB","2979","W (Wed)","Bye","0","0","","0%"
"Chris Nelson","(N/A)","DT","2980","W (Wed)","Bye","0","0","","0%"
"Dontrell Nelson","(N/A)","CB","2981","W (Wed)","Bye","0","0","","0%"
"J.R. Nelson","(N/A)","CB","2982","W (Wed)","Bye","0","0","","0%"
"Kyle Nelson","SF","TE","2983","FA","Bye","0","0","null","0%"
"Nick Nelson","LV","CB","2984","W (Wed)","Bye","0","0","null","0%"
"Reggie Nelson","(N/A)","S","2985","W (Wed)","Bye","0","0","","0%"
"Giorgio Newberry","(N/A)","DE","2986","W (Wed)","Bye","0","0","","0%"
"Terrell Newby","(N/A)","RB","2987","FA","Bye","0","0","","0%"
"Donavin Newsom","(N/A)","LB","2988","W (Wed)","Bye","0","0","","0%"
"Detrez Newsome","(N/A)","RB","2989","FA","Bye","0","0","","0%"
"Deatrick Nichols","NO","CB","2990","W (Wed)","Bye","0","0","null","0%"
"Hakeem Nicks","(N/A)","WR","2991","FA","Bye","0","0","","0%"
"Dadi Nicolas","(N/A)","DE","2992","W (Wed)","Bye","0","0","","0%"
"Troy Niklas","(N/A)","TE","2993","FA","Bye","0","0","","0%"
"Louis Nix III","(N/A)","DT","2994","W (Wed)","Bye","0","0","","0%"
"Taurean Nixon","(N/A)","CB","2995","W (Wed)","Bye","0","0","","0%"
"Cameron Nizialek","(N/A)","K","2996","FA","Bye","0","0","","0%"
"Robert Nkemdiche","(N/A)","DT","2997","W (Wed)","Bye","0","0","","0%"
"Speedy Noil","(N/A)","WR","2998","FA","Bye","0","0","","0%"
"Cyril Noland-Lewis","(N/A)","S","2999","W (Wed)","Bye","0","0","","0%"
"Dwayne Norman","(N/A)","LB","3000","W (Wed)","Bye","0","0","","0%"
"Anthony Norris","(N/A)","TE","3001","FA","Bye","0","0","","0%"
"Elijah Norris","(N/A)","DE,LB","3002","W (Wed)","Bye","0","0","","0%"
"Jared Norris","WAS","LB","3003","W (Wed)","Bye","0","0","null","0%"
"Marquez North","(N/A)","WR","3004","FA","Bye","0","0","","0%"
"Reggie Northrup","(N/A)","LB","3005","W (Wed)","Bye","0","0","","0%"
"Kendrick Norton","(N/A)","DT","3006","W (Wed)","Bye","0","0","","0%"
"Kevin Norwood","(N/A)","WR","3007","FA","Bye","0","0","","0%"
"Nick Novak","(N/A)","K","3008","FA","Bye","0","0","","0%"
"Noble Nwachukwu","(N/A)","DE","3009","W (Wed)","Bye","0","0","","0%"
"Uzoma Nwachukwu","(N/A)","WR","3010","FA","Bye","0","0","","0%"
"Eric Nzeocha","(N/A)","LB","3011","W (Wed)","Bye","0","0","","0%"
"Ryan O'Malley","(N/A)","TE","3012","FA","Bye","0","0","","0%"
"Cedric O'Neal","(N/A)","RB","3013","FA","Bye","0","0","","0%"
"Tom Obarski","(N/A)","K","3014","FA","Bye","0","0","","0%"
"Owen Obasuyi","(N/A)","DT","3015","W (Wed)","Bye","0","0","","0%"
"Jaden Oberkrom","CLE","K","3016","FA","Bye","0","0","null","0%"
"Julien Obioha","(N/A)","DE","3017","W (Wed)","Bye","0","0","","0%"
"Eze Obiora","(N/A)","LB","3018","W (Wed)","Bye","0","0","","0%"
"Ben Obomanu","(N/A)","WR","3019","FA","Bye","0","0","","0%"
"Victor Ochi","(N/A)","LB","3020","W (Wed)","Bye","0","0","","0%"
"Tito Odenigbo","(N/A)","DT","3021","W (Wed)","Bye","0","0","","0%"
"Dare Odeyingbo","(N/A)","DE,LB","3022","W (Wed)","Bye","0","0","","0%"
"Owamagbe Odighizuwa","(N/A)","DE","3023","W (Wed)","Bye","0","0","","0%"
"Phazahn Odom","(N/A)","TE","3024","FA","Bye","0","0","","0%"
"Jared Odrick","(N/A)","DT","3025","W (Wed)","Bye","0","0","","0%"
"Mario Ojemudia","(N/A)","LB","3026","W (Wed)","Bye","0","0","","0%"
"John Ojo","(N/A)","CB,S","3027","W (Wed)","Bye","0","0","","0%"
"Franky Okafor","(N/A)","WR","3028","FA","Bye","0","0","","0%"
"Tobenna Okeke","(N/A)","DE,LB","3029","W (Wed)","Bye","0","0","","0%"
"Earl Okine","(N/A)","DE,LB","3030","W (Wed)","Bye","0","0","","0%"
"Josh Okonye","(N/A)","CB","3031","W (Wed)","Bye","0","0","","0%"
"Chris Okoye","CIN","DT","3032","W (Wed)","Bye","0","0","null","0%"
"Deji Olatoye","ATL","CB","3033","W (Wed)","Bye","0","0","null","0%"
"Jamize Olawale","DAL","RB","3034","FA","Bye","0","0","null","0%"
"Branden Oliver","(N/A)","RB","3035","FA","Bye","0","0","","0%"
"Marcus Oliver","(N/A)","LB","3036","W (Wed)","Bye","0","0","","0%"
"Ronald Ollie","(N/A)","DT","3037","W (Wed)","Bye","0","0","","0%"
"David Olson","(N/A)","QB","3038","FA","Bye","0","0","","0%"
"Zach Olstad","(N/A)","RB","3039","FA","Bye","0","0","","0%"
"Kenneth Olugbode","(N/A)","LB","3040","W (Wed)","Bye","0","0","","0%"
"Donovan Olumba","CLE","CB","3041","W (Wed)","Bye","0","0","null","0%"
"Mike Onuoha","BAL","LB","3042","W (Wed)","Bye","0","0","null","0%"
"James Onwualu","(N/A)","LB","3043","W (Wed)","Bye","0","0","","0%"
"Kingsley Opara","(N/A)","DT","3044","W (Wed)","Bye","0","0","","0%"
"Matthew Oplinger","(N/A)","LB","3045","W (Wed)","Bye","0","0","","0%"
"Andrew Opoku","(N/A)","WR","3046","FA","Bye","0","0","","0%"
"Brian Orakpo","(N/A)","LB","3047","W (Wed)","Bye","0","0","","0%"
"Folarin Orimolade","(N/A)","LB","3048","W (Wed)","Bye","0","0","","0%"
"Dan Orlovsky","(N/A)","QB","3049","FA","Bye","0","0","","0%"
"Scott Orndoff","(N/A)","TE","3050","FA","Bye","0","0","","0%"
"Nick Orr","(N/A)","S","3051","W (Wed)","Bye","0","0","","0%"
"Zachary Orr","BAL","LB","3052","W (Wed)","Bye","0","0","null","0%"
"Matt Orzech","JAX","TE","3053","FA","Bye","0","0","null","0%"
"DeQuinton Osborne","(N/A)","DT","3054","W (Wed)","Bye","0","0","","0%"
"William Ossai","(N/A)","LB","3055","W (Wed)","Bye","0","0","","0%"
"Joe Ostman","PHI","DE","3056","W (Wed)","Bye","0","0","null","0%"
"Tyler Ott","SEA","TE","3057","FA","Bye","0","0","null","0%"
"A.J. Ouellette","(N/A)","RB","3058","FA","Bye","0","0","","0%"
"Marcus Outlow","(N/A)","RB","3059","FA","Bye","0","0","","0%"
"Jeff Overbaugh","ATL","LB","3060","W (Wed)","Bye","0","0","null","0%"
"Matt Overton","(N/A)","LB","3061","W (Wed)","Bye","0","0","","0%"
"Montese Overton","(N/A)","DE","3062","W (Wed)","Bye","0","0","","0%"
"Jarrell Owens","(N/A)","DE","3063","W (Wed)","Bye","0","0","","0%"
"Jonathan Owens","HOU","S","3064","W (Wed)","Bye","0","0","null","0%"
"Richard Owens","NYJ","TE","3065","FA","Bye","0","0","null","0%"
"Tyrone Owens","(N/A)","RB","3066","FA","Bye","0","0","","0%"
"Francis Owusu","(N/A)","WR","3067","FA","Bye","0","0","","0%"
"Calvin Pace","(N/A)","LB","3068","W (Wed)","Bye","0","0","","0%"
"Stephen Paea","(N/A)","DT","3069","W (Wed)","Bye","0","0","","0%"
"Mitchell Paige","(N/A)","WR","3070","FA","Bye","0","0","","0%"
"Kache Palacio","SEA","LB","3071","W (Wed)","Bye","0","0","null","0%"
"Tenny Palepoi","(N/A)","DT","3072","W (Wed)","Bye","0","0","","0%"
"Louis Palmer","(N/A)","DT","3073","W (Wed)","Bye","0","0","","0%"
"Nate Palmer","(N/A)","LB","3074","W (Wed)","Bye","0","0","","0%"
"Walter Palmore","(N/A)","DT","3075","W (Wed)","Bye","0","0","","0%"
"Evan Panfil","(N/A)","DE","3076","W (Wed)","Bye","0","0","","0%"
"Donald Parham Jr.","LAC","TE","3077","FA","Bye","0","0","null","0%"
"Brian Parker","(N/A)","TE","3078","FA","Bye","0","0","","0%"
"Joseph Parker","(N/A)","WR","3079","FA","Bye","0","0","","0%"
"Logan Parker","(N/A)","TE","3080","FA","Bye","0","0","","0%"
"Colby Parkinson","(N/A)","TE","3081","FA","Bye","0","0","","0%"
"Dennis Parks","(N/A)","WR","3082","FA","Bye","0","0","","0%"
"Terrance Parks","(N/A)","CB","3083","W (Wed)","Bye","0","0","","0%"
"Damian Parms","(N/A)","S","3084","W (Wed)","Bye","0","0","","0%"
"David Parry","(N/A)","DT","3085","W (Wed)","Bye","0","0","","0%"
"Giovanni Pascascio","(N/A)","WR","3086","FA","Bye","0","0","","0%"
"Tyler Patmon","(N/A)","CB","3087","W (Wed)","Bye","0","0","","0%"
"Jacques Patrick","(N/A)","RB","3088","FA","Bye","0","0","","0%"
"Damoun Patterson","(N/A)","WR","3089","FA","Bye","0","0","","0%"
"Quinton Patton","(N/A)","WR","3090","FA","Bye","0","0","","0%"
"Gionni Paul","(N/A)","LB","3091","W (Wed)","Bye","0","0","","0%"
"Niles Paul","(N/A)","TE","3092","FA","Bye","0","0","","0%"
"Logan Paulsen","(N/A)","TE","3093","FA","Bye","0","0","","0%"
"DAndre Payne","(N/A)","CB","3094","W (Wed)","Bye","0","0","","0%"
"Spencer Paysinger","CAR","LB","3095","W (Wed)","Bye","0","0","null","0%"
"Jordan Payton","(N/A)","WR","3096","FA","Bye","0","0","","0%"
"Chris Peace","NYG","LB","3097","W (Wed)","Bye","0","0","null","0%"
"Isaiah Pead","(N/A)","RB","3098","FA","Bye","0","0","","0%"
"Charone Peake","JAX","WR","3099","FA","Bye","0","0","null","0%"
"Colby Pearson","(N/A)","WR","3100","FA","Bye","0","0","","0%"
"Aaron Peck","(N/A)","TE","3101","FA","Bye","0","0","","0%"
"Cedric Peerman","(N/A)","RB","3102","FA","Bye","0","0","","0%"
"Claude Pelon","(N/A)","DE","3103","W (Wed)","Bye","0","0","","0%"
"Aarion Penton","(N/A)","CB","3104","W (Wed)","Bye","0","0","","0%"
"Steven Peoples","(N/A)","RB","3105","FA","Bye","0","0","","0%"
"Luis Perez","(N/A)","QB","3106","FA","Bye","0","0","","0%"
"Denzell Perine","(N/A)","DE","3107","W (Wed)","Bye","0","0","","0%"
"David Perkins","SEA","DE","3108","W (Wed)","Bye","0","0","null","0%"
"LaDarius Perkins","IND","RB","3109","FA","Bye","0","0","null","0%"
"Evan Perrizo","(N/A)","DE","3110","W (Wed)","Bye","0","0","","0%"
"Evan Perroni","TB","DE","3111","W (Wed)","Bye","0","0","null","0%"
"Nick Perry","(N/A)","LB","3112","W (Wed)","Bye","0","0","","0%"
"Brian Peters","(N/A)","LB","3113","W (Wed)","Bye","0","0","","0%"
"Jamal Peters","(N/A)","CB","3114","W (Wed)","Bye","0","0","","0%"
"Otha Peters","(N/A)","LB","3115","W (Wed)","Bye","0","0","","0%"
"Darrin Peterson","(N/A)","WR","3116","FA","Bye","0","0","","0%"
"Marcus Peterson","(N/A)","WR","3117","FA","Bye","0","0","","0%"
"Tyler Petite","(N/A)","TE","3118","FA","Bye","0","0","","0%"
"Shaq Petteway","(N/A)","LB","3119","W (Wed)","Bye","0","0","","0%"
"Brandon Pettigrew","DET","TE","3120","FA","Bye","0","0","null","0%"
"D.J. Pettway","(N/A)","DE","3121","W (Wed)","Bye","0","0","","0%"
"Kamryn Pettway","(N/A)","RB","3122","FA","Bye","0","0","","0%"
"Bryce Petty","(N/A)","QB","3123","FA","Bye","0","0","","0%"
"Erv Philips","(N/A)","WR","3124","FA","Bye","0","0","","0%"
"Andy Phillips","(N/A)","K","3125","FA","Bye","0","0","","0%"
"Cam Phillips","(N/A)","WR","3126","FA","Bye","0","0","","0%"
"Carroll Phillips","(N/A)","DE,LB","3127","W (Wed)","Bye","0","0","","0%"
"Dashaun Phillips","(N/A)","CB","3128","W (Wed)","Bye","0","0","","0%"
"Del'Shawn Phillips","BUF","LB","3129","W (Wed)","Bye","0","0","null","0%"
"Jake Phillips","(N/A)","TE","3130","FA","Bye","0","0","","0%"
"John Phillips","(N/A)","TE","3131","FA","Bye","0","0","","0%"
"Kalif Phillips","(N/A)","RB","3132","FA","Bye","0","0","","0%"
"Darius Philon","ARI","DE","3133","W (Wed)","Bye","0","0","null","0%"
"Adarius Pickett","NE","S","3134","W (Wed)","Bye","0","0","null","0%"
"Bernard Pierce","(N/A)","RB","3135","FA","Bye","0","0","","0%"
"DeMornay Pierson-El","(N/A)","WR","3136","FA","Bye","0","0","","0%"
"Tony Pike","(N/A)","QB","3137","FA","Bye","0","0","","0%"
"Manoa Pikula","(N/A)","LB","3138","W (Wed)","Bye","0","0","","0%"
"Larry Pinkard","(N/A)","WR","3139","FA","Bye","0","0","","0%"
"Eric Pinkins","(N/A)","LB","3140","W (Wed)","Bye","0","0","","0%"
"Jared Pinkney","(N/A)","TE","3141","FA","Bye","0","0","","0%"
"Lenzy Pipkins","NE","CB","3142","W (Wed)","Bye","0","0","null","0%"
"Ondre Pipkins","(N/A)","DT","3143","W (Wed)","Bye","0","0","","0%"
"Dennis Pitta","(N/A)","TE","3144","FA","Bye","0","0","","0%"
"Jamiyus Pittman","(N/A)","DT","3145","W (Wed)","Bye","0","0","","0%"
"Lafayette Pitts","IND","CB","3146","W (Wed)","Bye","0","0","null","0%"
"Eddie Pleasant","(N/A)","S","3147","W (Wed)","Bye","0","0","","0%"
"Henry Poggi","(N/A)","RB","3148","FA","Bye","0","0","","0%"
"Shawn Poindexter","SF","WR","3149","FA","Bye","0","0","null","0%"
"Quentin Poling","LV","LB","3150","W (Wed)","Bye","0","0","null","0%"
"Jachai Polite","LAR","LB","3151","W (Wed)","Bye","0","0","null","0%"
"Chris Polk","(N/A)","RB","3152","FA","Bye","0","0","","0%"
"Jermaine Ponder","(N/A)","CB","3153","W (Wed)","Bye","0","0","","0%"
"Jackson Porter","IND","CB","3154","W (Wed)","Bye","0","0","null","0%"
"Marcus Porter","(N/A)","LB","3155","W (Wed)","Bye","0","0","","0%"
"Reggie Porter","(N/A)","CB","3156","W (Wed)","Bye","0","0","","0%"
"Sean Porter","(N/A)","LB","3157","W (Wed)","Bye","0","0","","0%"
"Tracy Porter","(N/A)","CB","3158","W (Wed)","Bye","0","0","","0%"
"Cameron Posey","(N/A)","WR","3159","FA","Bye","0","0","","0%"
"DeVier Posey","(N/A)","WR","3160","FA","Bye","0","0","","0%"
"Darius Powe","(N/A)","WR","3161","FA","Bye","0","0","","0%"
"Brandon Powell","ATL","WR","3162","FA","Bye","0","0","null","0%"
"Christian Powell","(N/A)","RB","3163","FA","Bye","0","0","","0%"
"Jake Powell","(N/A)","TE","3164","FA","Bye","0","0","","0%"
"Joe Powell","(N/A)","S","3165","W (Wed)","Bye","0","0","","0%"
"Tyvis Powell","DEN","S","3166","W (Wed)","Bye","0","0","null","0%"
"Walter Powell","(N/A)","WR","3167","FA","Bye","0","0","","0%"
"Dayon Pratt","(N/A)","LB","3168","W (Wed)","Bye","0","0","","0%"
"Gimel President","(N/A)","LB","3169","W (Wed)","Bye","0","0","","0%"
"Jhurell Pressley","(N/A)","RB","3170","FA","Bye","0","0","","0%"
"Andrew Price","(N/A)","TE","3171","FA","Bye","0","0","","0%"
"Brian Price","JAX","DT","3172","W (Wed)","Bye","0","0","null","0%"
"Chase Price","(N/A)","RB","3173","FA","Bye","0","0","","0%"
"Ejuan Price","(N/A)","LB","3174","W (Wed)","Bye","0","0","","0%"
"Josiah Price","(N/A)","TE","3175","FA","Bye","0","0","","0%"
"Sheldon Price","(N/A)","CB","3176","W (Wed)","Bye","0","0","","0%"
"Darius Prince","(N/A)","WR","3177","FA","Bye","0","0","","0%"
"Raysean Pringle","(N/A)","CB","3178","W (Wed)","Bye","0","0","","0%"
"Austin Proehl","(N/A)","WR","3179","FA","Bye","0","0","","0%"
"Jay Prosch","(N/A)","RB","3180","FA","Bye","0","0","","0%"
"Chris Prosinski","CHI","S","3181","W (Wed)","Bye","0","0","null","0%"
"Jimmy Pruitt","(N/A)","CB","3182","W (Wed)","Bye","0","0","","0%"
"Terrelle Pryor Sr.","(N/A)","WR","3183","FA","Bye","0","0","","0%"
"Calvin Pryor","JAX","S","3184","W (Wed)","Bye","0","0","null","0%"
"Jake Pugh","(N/A)","LB","3185","W (Wed)","Bye","0","0","","0%"
"Peter Pujals","(N/A)","QB","3186","FA","Bye","0","0","","0%"
"Hayes Pullard","(N/A)","LB","3187","W (Wed)","Bye","0","0","","0%"
"Ryan Pulley","(N/A)","CB","3188","W (Wed)","Bye","0","0","","0%"
"Donnel Pumphrey","(N/A)","RB","3189","FA","Bye","0","0","","0%"
"Loucheiz Purifoy","SEA","CB","3190","W (Wed)","Bye","0","0","null","0%"
"Joseph Putu","(N/A)","CB","3191","W (Wed)","Bye","0","0","","0%"
"Bobby Puyol","BAL","K","3192","FA","Bye","0","0","null","0%"
"Elijah Qualls","(N/A)","DT","3193","W (Wed)","Bye","0","0","","0%"
"Andrew Quarless","(N/A)","TE","3194","FA","Bye","0","0","","0%"
"Kyle Queiro","(N/A)","LB","3195","W (Wed)","Bye","0","0","","0%"
"Durval Queiroz Neto","MIA","DT","3196","W (Wed)","Bye","0","0","null","0%"
"Brian Quick","(N/A)","WR","3197","FA","Bye","0","0","","0%"
"James Quick","(N/A)","WR","3198","FA","Bye","0","0","","0%"
"Brady Quinn","(N/A)","QB","3199","FA","Bye","0","0","","0%"
"Derek Rackley","(N/A)","WR","3200","FA","Bye","0","0","","0%"
"Brandon Radcliff","(N/A)","RB","3201","FA","Bye","0","0","","0%"
"Kevin Rader","PIT","TE","3202","FA","Bye","0","0","null","0%"
"Johnny Ragin III","(N/A)","LB","3203","W (Wed)","Bye","0","0","","0%"
"T.J. Rahming","(N/A)","WR","3204","FA","Bye","0","0","","0%"
"Bobby Rainey","BAL","RB","3205","FA","Bye","0","0","null","0%"
"B.J. Raji","(N/A)","DT","3206","W (Wed)","Bye","0","0","","0%"
"Bacarri Rambo","(N/A)","S","3207","W (Wed)","Bye","0","0","","0%"
"Austin Ramesh","(N/A)","RB","3208","FA","Bye","0","0","","0%"
"Santos Ramirez","(N/A)","S","3209","W (Wed)","Bye","0","0","","0%"
"Mike Ramsay","(N/A)","DT","3210","W (Wed)","Bye","0","0","","0%"
"Patrick Ramsey","(N/A)","QB","3211","FA","Bye","0","0","","0%"
"Randy Ramsey","GB","LB","3212","W (Wed)","Bye","0","0","null","0%"
"Delvon Randall","(N/A)","S","3213","W (Wed)","Bye","0","0","","0%"
"Joseph Randle","(N/A)","RB","3214","FA","Bye","0","0","","0%"
"Rodney Randle","(N/A)","CB","3215","W (Wed)","Bye","0","0","","0%"
"Rueben Randle","(N/A)","WR","3216","FA","Bye","0","0","","0%"
"Brian Randolph","(N/A)","S","3217","W (Wed)","Bye","0","0","","0%"
"Shak Randolph","(N/A)","CB","3218","W (Wed)","Bye","0","0","","0%"
"Shakeel Rashad","(N/A)","LB","3219","W (Wed)","Bye","0","0","","0%"
"Will Ratelle","(N/A)","RB","3220","FA","Bye","0","0","","0%"
"Anthony Ratliff-Williams","LV","WR","3221","FA","Bye","0","0","null","0%"
"Tim Rattay","(N/A)","QB","3222","FA","Bye","0","0","","0%"
"Eric Rawls","MIN","CB","3223","W (Wed)","Bye","0","0","null","0%"
"Thomas Rawls","(N/A)","RB","3224","FA","Bye","0","0","","0%"
"Shane Ray","(N/A)","LB","3225","W (Wed)","Bye","0","0","","0%"
"Wyatt Ray","NYJ","LB","3226","W (Wed)","Bye","0","0","null","0%"
"Chris Rayford","(N/A)","CB","3227","W (Wed)","Bye","0","0","","0%"
"Dax Raymond","CHI","TE","3228","FA","Bye","0","0","null","0%"
"Keith Reaser","(N/A)","CB","3229","W (Wed)","Bye","0","0","","0%"
"DeAndre Reaves","(N/A)","WR","3230","FA","Bye","0","0","","0%"
"Malik Reaves","(N/A)","CB","3231","W (Wed)","Bye","0","0","","0%"
"C.J. Reavis","ATL","S","3232","W (Wed)","Bye","0","0","null","0%"
"Michael Rector","(N/A)","WR","3233","FA","Bye","0","0","","0%"
"Kevin Reddick","(N/A)","LB","3234","W (Wed)","Bye","0","0","","0%"
"Devine Redding","(N/A)","RB","3235","FA","Bye","0","0","","0%"
"Teo Redding","(N/A)","WR","3236","FA","Bye","0","0","","0%"
"Quincy Redmon","MIA","WR","3237","FA","Bye","0","0","null","0%"
"Quincy Redmon","(N/A)","DE","3238","W (Wed)","Bye","0","0","","0%"
"Marcel Reece","(N/A)","RB","3239","FA","Bye","0","0","","0%"
"Jeff Reed","(N/A)","K","3240","FA","Bye","0","0","","0%"
"Kalan Reed","(N/A)","CB","3241","W (Wed)","Bye","0","0","","0%"
"Trovon Reed","(N/A)","CB","3242","W (Wed)","Bye","0","0","","0%"
"Bernard Reedy","(N/A)","WR","3243","FA","Bye","0","0","","0%"
"Jason Reese","(N/A)","TE","3244","FA","Bye","0","0","","0%"
"David Reeves","(N/A)","TE","3245","FA","Bye","0","0","","0%"
"Ryan Reid","(N/A)","CB","3246","W (Wed)","Bye","0","0","","0%"
"Brandon Reilly","(N/A)","WR","3247","FA","Bye","0","0","","0%"
"Trevor Reilly","NE","LB","3248","W (Wed)","Bye","0","0","null","0%"
"Tyler Renew","(N/A)","RB","3249","FA","Bye","0","0","","0%"
"Adam Reth","(N/A)","DT","3250","W (Wed)","Bye","0","0","","0%"
"Vincent Rey","(N/A)","LB","3251","W (Wed)","Bye","0","0","","0%"
"Kendall Reyes","(N/A)","DE","3252","W (Wed)","Bye","0","0","","0%"
"Craig Reynolds","ATL","RB","3253","FA","Bye","0","0","null","0%"
"Ed Reynolds","(N/A)","S","3254","W (Wed)","Bye","0","0","","0%"
"Keenan Reynolds","(N/A)","WR","3255","FA","Bye","0","0","","0%"
"Taylor Reynolds","(N/A)","CB","3256","W (Wed)","Bye","0","0","","0%"
"Jerry Rice Jr.","(N/A)","WR","3257","FA","Bye","0","0","","0%"
"Denzel Rice","(N/A)","CB","3258","W (Wed)","Bye","0","0","","0%"
"Ray Rice","(N/A)","RB","3259","FA","Bye","0","0","","0%"
"Demario Richard","(N/A)","RB","3260","FA","Bye","0","0","","0%"
"David Richards","(N/A)","WR","3261","FA","Bye","0","0","","0%"
"Jeff Richards","(N/A)","CB","3262","W (Wed)","Bye","0","0","","0%"
"Ramon Richards","(N/A)","CB","3263","W (Wed)","Bye","0","0","","0%"
"A.J. Richardson","ARI","WR","3264","FA","Bye","0","0","null","0%"
"Bobby Richardson","(N/A)","DE,DT","3265","W (Wed)","Bye","0","0","","0%"
"Daryl Richardson","(N/A)","RB","3266","FA","Bye","0","0","","0%"
"Ellis Richardson","(N/A)","TE","3267","FA","Bye","0","0","","0%"
"Horace Richardson","(N/A)","CB","3268","W (Wed)","Bye","0","0","","0%"
"Sean Richardson","(N/A)","S","3269","W (Wed)","Bye","0","0","","0%"
"Shaq Richardson","(N/A)","CB","3270","W (Wed)","Bye","0","0","","0%"
"Steven Richardson","(N/A)","DT","3271","W (Wed)","Bye","0","0","","0%"
"Trent Richardson","(N/A)","RB","3272","FA","Bye","0","0","","0%"
"Whitney Richardson","(N/A)","DE","3273","W (Wed)","Bye","0","0","","0%"
"Shaq Riddick","PIT","LB","3274","W (Wed)","Bye","0","0","null","0%"
"Theo Riddick","(N/A)","RB","3275","FA","Bye","0","0","","0%"
"Stevan Ridley","(N/A)","RB","3276","FA","Bye","0","0","","0%"
"Cody Riggs","(N/A)","CB","3277","W (Wed)","Bye","0","0","","0%"
"Al-Damion Riles","(N/A)","WR","3278","FA","Bye","0","0","","0%"
"Perry Riley Jr.","(N/A)","LB","3279","W (Wed)","Bye","0","0","","0%"
"Brian Riley","(N/A)","WR","3280","FA","Bye","0","0","","0%"
"Christian Ringo","(N/A)","DE","3281","W (Wed)","Bye","0","0","","0%"
"Marcus Rios","(N/A)","CB","3282","W (Wed)","Bye","0","0","","0%"
"Aaron Ripkowski","(N/A)","RB","3283","FA","Bye","0","0","","0%"
"Mychal Rivera","(N/A)","TE","3284","FA","Bye","0","0","","0%"
"David Rivers","(N/A)","CB","3285","W (Wed)","Bye","0","0","","0%"
"Derek Rivers","NE","DE","3286","W (Wed)","Bye","0","0","null","0%"
